agent1;agent2;agent3;agent4;agent5;agent6;agent7;agent8;agent9;agent10
0,870000;0,870000;0,880000;0,870000;0,999999;0,280000;0,919999;0,290000;0,880000;0,540000
0,880000;0,880000;0,889999;0,880000;1,000000;0,290000;0,929999;0,300000;0,889999;0,550000
1,000000;1,000000;1,000000;1,000000;0,000000;0,398090;0,000000;0,410300;0,000000;0,742050
0,000000;0,000000;0,000000;0,000000;0,010000;0,652128;0,010000;0,671792;0,010000;0,000000
0,010000;0,010000;0,010000;0,010000;0,020000;0,662128;0,020000;0,681792;0,020000;0,010000
0,020000;0,020000;0,020000;0,020000;0,030000;0,672128;0,030000;0,691792;0,030000;0,020000
0,030000;0,030000;0,030000;0,030000;0,040000;0,682128;0,040000;0,701792;0,040000;0,030000
0,040000;0,040000;0,040000;0,040000;0,050000;0,692128;0,050000;0,711792;0,050000;0,040000
0,050000;0,050000;0,050000;0,050000;0,060000;0,702128;0,060000;0,721792;0,060000;0,050000
0,060000;0,060000;0,060000;0,060000;0,070000;0,712128;0,070000;0,731792;0,070000;0,060000
0,070000;0,070000;0,070000;0,070000;0,080000;0,722128;0,080000;0,741792;0,080000;0,070000
0,080000;0,080000;0,080000;0,080000;0,090000;0,732128;0,090000;0,751792;0,090000;0,080000
0,090000;0,090000;0,090000;0,090000;0,100000;0,742128;0,100000;0,761792;0,100000;0,090000
0,100000;0,100000;0,100000;0,100000;0,110000;0,752128;0,110000;0,771792;0,110000;0,100000
0,110000;0,110000;0,110000;0,110000;0,120000;0,762128;0,120000;0,781792;0,120000;0,110000
0,120000;0,120000;0,120000;0,120000;0,130000;0,772128;0,130000;0,791792;0,130000;0,120000
0,130000;0,130000;0,130000;0,130000;0,140000;0,782128;0,140000;0,801792;0,140000;0,130000
0,140000;0,140000;0,140000;0,140000;0,150000;0,792128;0,150000;0,811792;0,150000;0,140000
0,150000;0,150000;0,150000;0,150000;0,160000;0,802128;0,160000;0,821792;0,160000;0,150000
0,160000;0,160000;0,160000;0,160000;0,170000;0,812128;0,170000;0,831792;0,170000;0,160000
0,170000;0,170000;0,170000;0,170000;0,180000;0,822128;0,180000;0,841792;0,180000;0,170000
0,180000;0,180000;0,180000;0,180000;0,190000;0,832128;0,190000;0,851792;0,190000;0,180000
0,190000;0,190000;0,190000;0,190000;0,200000;0,842128;0,200000;0,861792;0,200000;0,190000
0,200000;0,200000;0,200000;0,200000;0,210000;0,852128;0,210000;0,871792;0,210000;0,200000
0,210000;0,210000;0,210000;0,210000;0,220000;0,862128;0,220000;0,881792;0,220000;0,210000
0,220000;0,220000;0,220000;0,220000;0,230000;0,872128;0,230000;0,891792;0,230000;0,220000
0,230000;0,230000;0,230000;0,230000;0,240000;0,882128;0,240000;0,901792;0,240000;0,230000
0,240000;0,240000;0,240000;0,240000;0,250000;0,892128;0,250000;0,911792;0,250000;0,240000
0,250000;0,250000;0,250000;0,250000;0,260000;0,902128;0,260000;0,921792;0,260000;0,250000
0,260000;0,260000;0,260000;0,260000;0,270000;0,912128;0,270000;0,931792;0,270000;0,260000
0,270000;0,270000;0,270000;0,270000;0,280000;0,922128;0,280000;0,941792;0,280000;0,270000
0,280000;0,280000;0,280000;0,280000;0,290000;0,932128;0,290000;0,951792;0,290000;0,280000
0,290000;0,290000;0,290000;0,290000;0,300000;0,942128;0,300000;0,961792;0,300000;0,290000
0,300000;0,300000;0,300000;0,300000;0,310000;0,952128;0,310000;0,971792;0,310000;0,300000
0,310000;0,310000;0,310000;0,310000;0,320000;0,962128;0,320000;0,981792;0,320000;0,310000
0,320000;0,320000;0,320000;0,320000;0,330000;0,972128;0,330000;0,991792;0,330000;0,320000
0,330000;0,330000;0,330000;0,330000;0,340000;0,982128;0,340000;1,000000;0,340000;0,330000
0,374000;0,374000;0,374000;0,374000;0,385000;1,000000;0,385000;0,000000;0,384000;0,373000
0,422400;0,422400;0,422400;0,422400;0,434500;0,000000;0,433500;0,010000;0,432400;0,420300
0,432400;0,432400;0,432400;0,432400;0,444500;0,010000;0,443500;0,020000;0,442400;0,430300
0,442400;0,442400;0,442400;0,442400;0,454500;0,020000;0,453500;0,030000;0,452400;0,440300
0,452400;0,452400;0,452400;0,452400;0,464500;0,030000;0,463500;0,040000;0,462400;0,450300
0,462400;0,462400;0,462400;0,462400;0,474500;0,040000;0,473500;0,050000;0,472400;0,460300
0,472400;0,472400;0,472400;0,472400;0,484500;0,050000;0,483500;0,060000;0,482400;0,470300
0,482400;0,482400;0,482400;0,482400;0,494500;0,060000;0,493500;0,070000;0,492400;0,480300
0,492400;0,492400;0,492400;0,492400;0,504500;0,070000;0,503500;0,080000;0,502400;0,490300
0,502400;0,502400;0,502400;0,502400;0,514500;0,080000;0,513500;0,090000;0,512400;0,500300
0,512400;0,512400;0,512400;0,512400;0,524500;0,090000;0,523500;0,100000;0,522400;0,510300
0,522400;0,522400;0,522400;0,522400;0,534500;0,100000;0,533500;0,110000;0,532400;0,520300
0,532400;0,532400;0,532400;0,532400;0,544500;0,110000;0,543500;0,120000;0,542400;0,530300
0,542400;0,542400;0,542400;0,542400;0,554500;0,120000;0,553500;0,130000;0,552400;0,540300
0,552400;0,552400;0,552400;0,552400;0,564500;0,130000;0,563500;0,140000;0,562400;0,550300
0,562400;0,562400;0,562400;0,562400;0,574500;0,140000;0,573500;0,150000;0,572400;0,560300
0,572400;0,572400;0,572400;0,572400;0,584500;0,150000;0,583500;0,160000;0,582400;0,570300
0,582400;0,582400;0,582400;0,582400;0,594500;0,160000;0,593500;0,170000;0,592400;0,580300
0,592400;0,592400;0,592400;0,592400;0,604500;0,170000;0,603500;0,180000;0,602400;0,590300
0,602400;0,602400;0,602400;0,602400;0,614500;0,180000;0,613500;0,190000;0,612400;0,600300
0,612400;0,612400;0,612400;0,612400;0,624500;0,190000;0,623500;0,200000;0,622400;0,610300
0,622400;0,622400;0,622400;0,622400;0,634500;0,200000;0,633500;0,210000;0,632400;0,620300
0,632400;0,632400;0,632400;0,632400;0,644500;0,210000;0,643500;0,220000;0,642400;0,630300
0,642400;0,642400;0,642400;0,642400;0,654500;0,220000;0,653500;0,230000;0,652400;0,640300
0,652400;0,652400;0,652400;0,652400;0,664500;0,230000;0,663500;0,240000;0,662400;0,650300
0,662400;0,662400;0,662400;0,662400;0,674500;0,240000;0,673500;0,250000;0,672400;0,660300
0,672400;0,672400;0,672400;0,672400;0,684500;0,250000;0,683500;0,260000;0,682400;0,670300
0,682400;0,682400;0,682400;0,682400;0,694500;0,260000;0,693500;0,270000;0,692400;0,680300
0,692400;0,692400;0,692400;0,692400;0,704500;0,270000;0,703500;0,280000;0,702400;0,690300
0,702400;0,702400;0,702400;0,702400;0,714500;0,280000;0,713500;0,290000;0,712400;0,700300
0,712400;0,712400;0,712400;0,712400;0,724500;0,290000;0,723500;0,300000;0,722400;0,710300
0,722400;0,722400;0,722400;0,722400;0,734500;0,300000;0,733500;0,310000;0,732400;0,720300
0,732400;0,732400;0,732400;0,732400;0,744500;0,310000;0,743500;0,320000;0,742400;0,730300
0,742400;0,742400;0,742400;0,742400;0,754500;0,320000;0,753500;0,330000;0,752400;0,740300
0,752400;0,752400;0,752400;0,752400;0,764500;0,330000;0,763500;0,340000;0,762400;0,750300
0,762400;0,762400;0,762400;0,762400;0,774500;0,340000;0,773500;0,350000;0,772400;0,760300
0,772400;0,772400;0,772400;0,772400;0,784500;0,350000;0,783500;0,360000;0,782400;0,770300
0,782400;0,782400;0,782400;0,782400;0,794500;0,360000;0,793500;0,370000;0,792400;0,780300
0,792400;0,792400;0,792400;0,792400;0,804500;0,370000;0,803500;0,380000;0,802400;0,790300
0,802400;0,802400;0,802400;0,802400;0,814500;0,380000;0,813500;0,390000;0,812400;0,800300
0,812400;0,812400;0,812400;0,812400;0,824500;0,390000;0,823500;0,400000;0,822400;0,810300
0,822400;0,822400;0,822400;0,822400;0,834500;0,400000;0,833500;0,410000;0,832400;0,820300
0,832400;0,832400;0,832400;0,832400;0,844500;0,410000;0,843500;0,420000;0,842400;0,830300
0,842400;0,842400;0,842400;0,842400;0,854500;0,420000;0,853500;0,430000;0,852400;0,840300
